1,2016,0.63 ,3.75
2,2015,0.70 ,2.75
3,2015,0.70 ,3
4,2015,0.70 ,3.5
5,2015,0.70 ,3.5
6,2014,0.70 ,2.75
7,2014,0.70 ,3.5
8,2014,0.70 ,3.5
9,2014,0.70 ,3.75
10,2014,0.70 ,4
11,2013,0.70 ,2.75
12,2013,0.70 ,3
13,2013,0.70 ,3.25
14,2013,0.70 ,3.75
15,2013,0.70 ,2.75
16,2013,0.70 ,3
17,2013,0.70 ,3.25
18,2013,0.70 ,4
19,2013,0.70 ,3.25
20,2013,0.70 ,3.5
21,2013,0.63 ,4
22,2012,0.70 ,3.5
23,2012,0.63 ,3.75
24,2015,0.70 ,3.75
25,2015,0.70 ,3.75
26,2011,0.60 ,2.75
27,2011,0.80 ,3.25
28,2011,0.88 ,3.5
29,2011,0.72 ,3.5
30,2009,0.55 ,2.75
31,2009,0.70 ,3
32,2009,0.70 ,3
33,2011,0.75 ,3.75
34,2010,0.75 ,2.75
35,2010,0.75 ,2.75
36,2014,0.65 ,2.75
37,2014,0.75 ,2.75
38,2014,0.75 ,3
39,2013,0.75 ,2.5
40,2013,0.75 ,2.5
41,2017,0.70 ,3.5
42,2017,0.70 ,3.5
43,2017,0.70 ,3.5
44,2017,0.70 ,3.5
45,2016,0.60 ,2.75
46,2016,0.60 ,3
47,2016,0.60 ,2.5
48,2016,0.60 ,2.5
49,2016,0.60 ,2.75
50,2013,0.60 ,2.5
51,2013,0.60 ,3
52,2013,0.80 ,3.25
53,2013,0.60 ,3
54,2013,0.60 ,3.25
55,2011,0.70 ,4
56,2010,0.70 ,3.75
57,2010,0.70 ,4
58,2010,0.70 ,3
59,2009,0.70 ,3
60,2008,0.70 ,2.75
61,2007,0.70 ,3.5
62,2007,0.70 ,3
63,2007,0.70 ,3.75
64,2009,0.70 ,3
65,2009,0.70 ,2.75
66,2009,0.85 ,2.75
67,2009,0.85 ,3
68,2013,0.72 ,3.25
69,2013,0.73 ,3.5
70,2015,0.64 ,3
71,2015,0.66 ,3.25
72,2015,0.75 ,3.25
73,2015,0.63 ,3.25
74,2015,0.70 ,3.25
75,2015,0.68 ,3.5
76,2012,0.70 ,3.75
77,2007,0.70 ,4
78,2007,0.75 ,4
79,2007,0.70 ,5
80,2007,0.70 ,3
81,2007,0.70 ,3
82,2007,0.70 ,3.5
83,2007,0.70 ,3.75
84,2007,0.70 ,4
85,2007,0.70 ,3.5
86,2007,0.63 ,3.5
87,2006,0.70 ,5
88,2006,0.66 ,4
89,2013,0.75 ,3.25
90,2010,0.85 ,2.75
91,2010,0.50 ,3.75
92,2010,0.75 ,3.75
93,2010,0.60 ,4
94,2014,0.75 ,3
95,2016,0.75 ,3.5
96,2014,0.75 ,3
97,2014,0.72 ,2.5
98,2014,0.75 ,2.75
99,2014,0.75 ,3
100,2016,0.70 ,3.5
101,2016,0.70 ,3.75
102,2016,0.73 ,3.5
103,2016,0.70 ,3.25
104,2016,0.70 ,3.25
105,2016,0.70 ,3.5
106,2016,0.70 ,3.75
107,2016,0.70 ,3.5
108,2016,0.70 ,4
109,2016,0.70 ,4
110,2016,0.70 ,3.75
111,2016,0.70 ,3.25
112,2016,0.73 ,3.25
113,2015,0.70 ,3.5
114,2015,0.68 ,3.5
115,2015,0.70 ,3.75
116,2015,0.70 ,3.5
117,2015,0.70 ,3.75
118,2015,0.70 ,4
119,2015,0.75 ,2.75
120,2015,0.70 ,3.25
121,2015,0.75 ,3.5
122,2013,0.72 ,3.25
123,2012,0.72 ,3.75
124,2011,0.72 ,4
125,2011,0.72 ,2.75
126,2010,1.00 ,1.75
127,2010,0.72 ,3.75
128,2010,0.72 ,3.25
129,2010,0.72 ,3.25
130,2010,0.72 ,3.5
131,2009,0.75 ,2.5
132,2009,0.72 ,2.75
133,2009,0.72 ,1.75
134,2009,0.80 ,3
135,2009,0.75 ,3
136,2009,0.72 ,3.25
137,2008,0.72 ,3.75
138,2013,0.72 ,2.75
139,2016,0.68 ,3.75
140,2011,0.72 ,3.75
141,2011,0.70 ,3.75
142,2009,0.77 ,3.75
143,2007,0.75 ,2.5
144,2007,0.70 ,3
145,2015,0.80 ,3.25
146,2015,0.70 ,3.5
147,2012,0.70 ,3
148,2012,0.70 ,2.5
149,2012,0.70 ,2.5
150,2015,0.70 ,2.75
151,2015,0.70 ,3.5
152,2015,0.70 ,3.5
153,2014,0.70 ,4
154,2012,0.70 ,3.25
155,2012,0.70 ,3.5
156,2012,0.70 ,3.75
157,2012,0.80 ,2.75
158,2016,0.65 ,3.5
159,2016,0.70 ,3.75
160,2016,0.65 ,3.25
161,2017,0.73 ,3
162,2017,0.72 ,3.25
163,2016,0.80 ,2.75
164,2016,0.70 ,2.75
165,2016,0.70 ,2.75
166,2016,0.90 ,2.75
167,2010,0.64 ,2.75
168,2010,0.64 ,2.75
169,2010,0.64 ,2.75
170,2010,0.71 ,3.5
171,2016,0.70 ,3.5
172,2016,0.70 ,3.25
173,2016,0.70 ,3.5
174,2016,0.83 ,2.75
175,2016,0.78 ,3
176,2016,0.83 ,3.5
177,2013,0.74 ,3.5
178,2013,0.74 ,3.5
179,2013,0.74 ,3.5
180,2013,0.73 ,4
181,2011,0.72 ,4
182,2011,0.72 ,3.75
183,2012,0.55 ,2.75
184,2011,0.64 ,3
185,2011,0.88 ,3
186,2011,0.72 ,3.5
187,2011,0.72 ,4
188,2010,0.70 ,3.25
189,2010,0.74 ,3.25
190,2010,0.64 ,3.5
191,2010,0.72 ,3.5
192,2015,0.76 ,2.5
193,2015,0.76 ,2.5
194,2015,0.78 ,2.5
195,2015,0.86 ,3.25
196,2012,0.72 ,3.5
197,2010,0.75 ,3.25
198,2010,0.70 ,3.75
199,2010,0.65 ,2.75
200,2010,0.70 ,3
201,2010,0.78 ,3
202,2009,0.75 ,3
203,2009,0.65 ,3.5
204,2009,0.75 ,3.25
205,2009,0.65 ,3.5
206,2008,0.71 ,3
207,2008,0.75 ,3.5
208,2008,0.68 ,3.75
209,2008,0.70 ,3
210,2008,0.70 ,2.75
211,2008,0.70 ,2.75
212,2008,0.70 ,3
213,2014,0.70 ,2.75
214,2013,0.82 ,3.5
215,2009,0.72 ,2.75
216,2016,0.82 ,3.5
217,2016,0.75 ,2.75
218,2016,0.75 ,3.5
219,2016,0.75 ,3
